timestamp_utc,state,model,variant,colour,count,stock_numbers
2026-09-02 06:09:33 UTC,ACT,Atto 1,Essential,Black Grey,11,8047155;8081951;8081958;8081963;8081965;8087372;8087373;8087375;8087546;8087547;8087548
2026-09-02 06:09:33 UTC,ACT,Atto 1,Essential,Cosmos Black,6,8086650;8091585;8095762;8100062;8100645;8103157
2026-09-02 06:09:33 UTC,ACT,Atto 1,Premium,Apricity White,3,8106181;8106182;8106184
2026-09-02 06:09:33 UTC,ACT,Atto 1,Premium,Black Grey,4,8104121;8106253;8109175;8109176
2026-09-02 06:09:33 UTC,ACT,Atto 1,Premium,Cosmos Black,1,8104379
2026-09-02 06:09:33 UTC,ACT,Atto 2,Premium,Black,3,8104497;8104498;8104500
2026-09-02 06:09:33 UTC,ACT,Atto 2,Premium,Cosmos Black,3,8106202;8106257;8106259
2026-09-02 06:09:33 UTC,ACT,Dolphin,Essential,Atlantis Grey,3,8104164;8108976;8108982
2026-09-02 06:09:33 UTC,ACT,Dolphin,Essential,Grey Black,1,8108978
2026-09-02 06:09:33 UTC,ACT,Dolphin,Essential,Harbour Grey,2,8108971;8108972
2026-09-02 06:09:33 UTC,ACT,Dolphin,Premium,Grey Black,2,8102874;8108994
2026-09-02 06:09:33 UTC,ACT,Dolphin,Premium,Harbour Grey,3,8106720;8109142;8109143
2026-09-02 06:09:33 UTC,ACT,Seal,Performance,Thaumas Black,7,8102213;8102968;8103411;8103936;8103937;8104263;8104265
2026-09-02 06:09:33 UTC,ACT,Seal,Premium,Thaumas Black,3,8103926;8108356;8108357
2026-09-02 06:09:33 UTC,ACT,Sealion 5,Essential,Aurora White,1,8104108
2026-09-02 06:09:33 UTC,ACT,Sealion 5,Essential,Black,2,8104097;8109616
2026-09-02 06:09:33 UTC,ACT,Sealion 5,Essential,Cosmos Black,3,8104098;8104102;8104103
2026-09-02 06:09:33 UTC,ACT,Sealion 5,Essential,Harbour Grey,3,8104469;8104470;8104471
2026-09-02 06:09:33 UTC,ACT,Sealion 6,Dynamic Extended,Arctic White,8,8097338;8100631;8100633;8100634;8101573;8104189;8104190;8104192
2026-09-02 06:09:33 UTC,ACT,Sealion 6,Essential,Black Brown,11,8049056;8091608;8091609;8091610;8092846;8104130;8104142;8104144;8104147;8104148;8104149
2026-09-02 06:09:33 UTC,ACT,Sealion 6,Essential,Cosmos Black,1,8104137
2026-09-02 06:09:33 UTC,ACT,Sealion 6,Premium Extended,Cosmos Black,3,8104416;8104417;8104419
2026-09-02 06:09:33 UTC,ACT,Sealion 6,Premium Extended,Harbour Grey,5,8097623;8099330;8109011;8109013;8109014
2026-09-02 06:09:33 UTC,ACT,Sealion 6,Premium Extended,Stone Grey,4,8108986;8108987;8108988;8109002
2026-09-02 06:09:33 UTC,ACT,Sealion 7,Performance,Thaumas Black,6,8103536;8103537;8103538;8109189;8109190;8109191
2026-09-02 06:09:33 UTC,ACT,Sealion 7,Premium,Thaumas Black,1,8111187
2026-09-02 06:09:33 UTC,ACT,Sealion 8,Dynamic AWD,Aurora White,3,8087407;8087408;8087410
2026-09-02 06:09:33 UTC,ACT,Sealion 8,Dynamic AWD,Black,7,8082075;8082076;8082105;8082106;8082141;8087416;8087417
2026-09-02 06:09:33 UTC,ACT,Sealion 8,Dynamic AWD,Cosmos Black,4,8082005;8082006;8082132;8082133
2026-09-02 06:09:33 UTC,ACT,Sealion 8,Dynamic AWD,Dark Aquamarine,5,8082120;8082144;8082145;8082146;8082147
2026-09-02 06:09:33 UTC,ACT,Sealion 8,Dynamic FWD,Aurora White,2,8096183;8102965
2026-09-02 06:09:33 UTC,ACT,Sealion 8,Dynamic FWD,Black,5,8077120;8077121;8078425;8082154;8082174
2026-09-02 06:09:33 UTC,ACT,Sealion 8,Dynamic FWD,Cosmos Black,1,8108271
2026-09-02 06:09:33 UTC,ACT,Sealion 8,Dynamic FWD,Dark Aquamarine,1,8082171
2026-09-02 06:09:33 UTC,ACT,Sealion 8,Premium AWD,Black,2,8104241;8109619
2026-09-02 06:09:33 UTC,ACT,Sealion 8,Premium AWD,Cosmos Black,1,8106703
2026-09-02 06:09:33 UTC,ACT,Sealion 8,Premium AWD,Dark Aquamarine,1,8105496
2026-09-02 06:09:33 UTC,ACT,Shark 6,Dynamic Cab Chassis,Thaumas Black,6,8080185;8086637;8089904;8090715;8096843;8096844
2026-09-02 06:09:33 UTC,ACT,Shark 6,Premium,Deep Sea Blue,2,8110974;8110987
2026-09-02 06:09:33 UTC,NSW,Atto 1,Essential,Apricity White,4,8073917;8111293;8111294;8111295
2026-09-02 06:09:33 UTC,NSW,Atto 1,Essential,Black Grey,7,8075145;8083933;8086640;8087362;8087368;8087369;8087370
2026-09-02 06:09:33 UTC,NSW,Atto 1,Essential,Cosmos Black,3,8090731;8092044;8096230
2026-09-02 06:09:33 UTC,NSW,Atto 1,Premium,Apricity White,3,8106166;8106167;8106169
2026-09-02 06:09:33 UTC,NSW,Atto 1,Premium,Black Grey,6,8105641;8106250;8106252;8109027;8109151;8109159
2026-09-02 06:09:33 UTC,NSW,Atto 1,Premium,Cosmos Black,3,8070597;8111363;8111364
2026-09-02 06:09:33 UTC,NSW,Atto 2,Dynamic,Harbour Grey,5,8111326;8111327;8111328;8111329;8111330
2026-09-02 06:09:33 UTC,NSW,Atto 2,Premium,Black,2,8104475;8104476
2026-09-02 06:09:33 UTC,NSW,Atto 2,Premium,Cosmos Black,3,8106264;8106271;8106272
2026-09-02 06:09:33 UTC,NSW,Atto 2,Premium,Mist Grey,1,8104477
2026-09-02 06:09:33 UTC,NSW,Atto 3,Essential,Cosmos Black,1,8110398
2026-09-02 06:09:33 UTC,NSW,Atto 3,Essential,Harbour Grey,1,8102639
2026-09-02 06:09:33 UTC,NSW,Atto 3,Premium,Harbour Grey,1,8080364
2026-09-02 06:09:33 UTC,NSW,Dolphin,Essential,Atlantis Grey,2,8110365;8111710
2026-09-02 06:09:33 UTC,NSW,Dolphin,Essential,Grey Black,1,8111305
2026-09-02 06:09:33 UTC,NSW,Dolphin,Essential,Harbour Grey,3,8108968;8108969;8108970
2026-09-02 06:09:33 UTC,NSW,Dolphin,Premium,Atlantis Grey,3,8111348;8111349;8111350
2026-09-02 06:09:33 UTC,NSW,Dolphin,Premium,Grey Black,2,8111331;8111332
2026-09-02 06:09:33 UTC,NSW,Seal,Performance,Thaumas Black,9,8072369;8088881;8090726;8091584;8098911;8103927;8103929;8103930;8103932
2026-09-02 06:09:33 UTC,NSW,Seal,Premium,Cosmos Black,2,8110057;8110060
2026-09-02 06:09:33 UTC,NSW,Seal,Premium,Thaumas Black,6,8103914;8103918;8103920;8110034;8110036;8110037
2026-09-02 06:09:33 UTC,NSW,Seal 6,Essential,Arctic White,1,8088137
2026-09-02 06:09:33 UTC,NSW,Seal 6 Touring,Premium,Arctic White,1,8083525
2026-09-02 06:09:33 UTC,NSW,Sealion 5,Essential,Aurora White,5,8104107;8111297;8111298;8111299;8111300
2026-09-02 06:09:33 UTC,NSW,Sealion 5,Essential,Black,4,8102814;8102817;8104095;8104096
2026-09-02 06:09:33 UTC,NSW,Sealion 5,Essential,Harbour Grey,1,8111354
2026-09-02 06:09:33 UTC,NSW,Sealion 6,Dynamic Extended,Arctic White,3,8104201;8104203;8104204
2026-09-02 06:09:33 UTC,NSW,Sealion 6,Essential,Black Brown,17,8043884;8069569;8090946;8090947;8090948;8092840;8092841;8092842;8104125;8104132;8104133;8104134;8104140;8104141;8104145;8111301;8111302
2026-09-02 06:09:33 UTC,NSW,Sealion 6,Essential,Cosmos Black,1,8082060
2026-09-02 06:09:33 UTC,NSW,Sealion 6,Premium Extended,Arctic White,2,8111347;8111355
2026-09-02 06:09:33 UTC,NSW,Sealion 6,Premium Extended,Cosmos Black,3,8104412;8104413;8104414
2026-09-02 06:09:33 UTC,NSW,Sealion 6,Premium Extended,Harbour Grey,3,8109017;8109018;8109019
2026-09-02 06:09:33 UTC,NSW,Sealion 6,Premium Extended,Stone Grey,4,8089817;8108983;8108985;8109005
2026-09-02 06:09:33 UTC,NSW,Sealion 7,Performance,Thaumas Black,6,8103175;8103176;8103177;8109180;8109181;8109182
2026-09-02 06:09:33 UTC,NSW,Sealion 7,Premium,Cosmos Black,3,8111013;8111014;8111016
2026-09-02 06:09:33 UTC,NSW,Sealion 7,Premium,Thaumas Black,16,8111007;8111010;8111011;8111040;8111105;8111106;8111108;8111141;8111143;8111145;8111150;8111162;8111163;8111715;8111717;8111718
2026-09-02 06:09:33 UTC,NSW,Sealion 8,Dynamic AWD,Aurora White,4,8080243;8087469;8087470;8087471
2026-09-02 06:09:33 UTC,NSW,Sealion 8,Dynamic AWD,Black,5,8082074;8082077;8082107;8087440;8098937
2026-09-02 06:09:33 UTC,NSW,Sealion 8,Dynamic AWD,Cosmos Black,3,8111322;8111323;8111324
2026-09-02 06:09:33 UTC,NSW,Sealion 8,Dynamic AWD,Dark Aquamarine,2,8082128;8111320
2026-09-02 06:09:33 UTC,NSW,Sealion 8,Dynamic FWD,Aurora White,4,8082162;8111288;8111289;8111290
2026-09-02 06:09:33 UTC,NSW,Sealion 8,Dynamic FWD,Black,5,8068434;8070851;8076932;8080258;8082153
2026-09-02 06:09:33 UTC,NSW,Sealion 8,Dynamic FWD,Cosmos Black,4,8068425;8111306;8111307;8111308
2026-09-02 06:09:33 UTC,NSW,Sealion 8,Dynamic FWD,Ridge Grey,1,8076939
2026-09-02 06:09:33 UTC,NSW,Sealion 8,Premium AWD,Aurora White,3,8111309;8111310;8111318
2026-09-02 06:09:33 UTC,NSW,Sealion 8,Premium AWD,Black,2,8111317;8111344
2026-09-02 06:09:33 UTC,NSW,Sealion 8,Premium AWD,Cosmos Black,4,8111312;8111313;8111314;8111316
2026-09-02 06:09:33 UTC,NSW,Sealion 8,Premium AWD,Dark Aquamarine,3,8111340;8111341;8111714
2026-09-02 06:09:33 UTC,NSW,Sealion 8,Premium AWD,Ridge Grey,1,8111343
2026-09-02 06:09:33 UTC,NSW,Shark 6,Dynamic Cab Chassis,Thaumas Black,5,8075068;8080218;8080219;8080222;8080223
2026-09-02 06:09:33 UTC,NSW,Shark 6,Performance,Thaumas Black,2,8111365;8111366
2026-09-02 06:09:33 UTC,NSW,Shark 6,Premium,Deep Sea Blue,6,8109115;8110962;8110986;8110988;8110998;8110999
2026-09-02 06:09:33 UTC,NT,Atto 1,Essential,Cosmos Black,1,8093540
2026-09-02 06:09:33 UTC,NT,Atto 2,Premium,Harbour Grey,1,8097746
2026-09-02 06:09:33 UTC,NT,Atto 3,Premium,Cosmos Black,2,8062795;8068550
2026-09-02 06:09:33 UTC,NT,Atto 3,Premium,Harbour Grey,1,8066401
2026-09-02 06:09:33 UTC,NT,Dolphin,Premium,Harbour Grey,2,8064373;8064381
2026-09-02 06:09:33 UTC,NT,Seal,Dynamic,Thaumas Black,1,8065490
2026-09-02 06:09:33 UTC,NT,Sealion 5,Essential,Harbour Grey,1,8068533
2026-09-02 06:09:33 UTC,NT,Sealion 5,Premium,Aurora White,2,8083867;8095935
2026-09-02 06:09:33 UTC,NT,Sealion 5,Premium,Black,1,8084179
2026-09-02 06:09:33 UTC,NT,Sealion 7,Premium,Thaumas Black,2,8071837;8091665
2026-09-02 06:09:33 UTC,NT,Sealion 8,Dynamic AWD,Black,1,8066842
2026-09-02 06:09:33 UTC,NT,Sealion 8,Dynamic AWD,Dark Aquamarine,1,8066841
2026-09-02 06:09:33 UTC,NT,Sealion 8,Dynamic FWD,Aurora White,1,8065503
2026-09-02 06:09:33 UTC,NT,Sealion 8,Dynamic FWD,Black,1,8066834
2026-09-02 06:09:33 UTC,QLD,Atto 1,Essential,Apricity White,10,8073379;8075748;8077357;8077358;8077597;8077601;8078799;8101981;8101982;8106547
2026-09-02 06:09:33 UTC,QLD,Atto 1,Essential,Black Grey,14,8080778;8080779;8080784;8080785;8080803;8080804;8080889;8088388;8088479;8088480;8088481;8088482;8097915;8099858
2026-09-02 06:09:33 UTC,QLD,Atto 1,Essential,Cosmos Black,4,8084675;8089968;8091297;8092138
